"ANO";"MES";"DIA";"HORA";"DIA_DA_SEMANA";"QTD";"QTD_NEGADA";"QTD_NEG_OP";"QTD_APROVADA";"QTD_CREDITOR_DISTINCT"
"16";"07";"01";"00";6;1455;274;211;943;72805
"16";"07";"01";"01";6;860;183;155;509;72805
"16";"07";"01";"02";6;661;142;154;353;72805
"16";"07";"01";"03";6;397;83;83;225;72805
"16";"07";"01";"04";6;304;50;68;177;72805
"16";"07";"01";"05";6;258;30;66;154;72805
"16";"07";"01";"06";6;298;58;41;194;72805
"16";"07";"01";"07";6;772;95;103;561;72805
"16";"07";"01";"08";6;1550;187;178;1157;72805
"16";"07";"01";"09";6;3202;410;314;2447;72805
"16";"07";"01";"10";6;3532;529;409;2533;72805
"16";"07";"01";"11";6;3553;524;390;2574;72805
"16";"07";"01";"12";6;3145;481;443;2173;72805
"16";"07";"01";"13";6;3334;538;401;2326;72805
"16";"07";"01";"14";6;3805;619;561;2569;72805
"16";"07";"01";"15";6;3897;537;742;2541;72805
"16";"07";"01";"16";6;3629;544;463;2574;72805
"16";"07";"01";"17";6;3661;533;783;2286;72805
"16";"07";"01";"18";6;2774;447;291;1984;72805
"16";"07";"01";"19";6;2869;536;358;1941;72805
"16";"07";"01";"20";6;2774;499;367;1856;72805
"16";"07";"01";"21";6;3570;451;1177;1866;72805
"16";"07";"01";"22";6;2120;375;266;1448;72805
"16";"07";"01";"23";6;1789;363;243;1150;72805
"16";"07";"02";"00";7;1128;248;163;702;72805
"16";"07";"02";"01";7;743;166;109;456;72805
"16";"07";"02";"02";7;588;108;166;293;72805
"16";"07";"02";"03";7;272;52;44;171;72805
"16";"07";"02";"04";7;229;49;39;136;72805
"16";"07";"02";"05";7;184;25;30;129;72805
"16";"07";"02";"06";7;196;34;34;122;72805
"16";"07";"02";"07";7;453;74;70;297;72805
"16";"07";"02";"08";7;846;135;106;596;72805
"16";"07";"02";"09";7;4159;213;724;3156;72805
"16";"07";"02";"10";7;4389;341;704;3286;72805
"16";"07";"02";"11";7;2366;406;250;1677;72805
"16";"07";"02";"12";7;2131;365;259;1470;72805
"16";"07";"02";"13";7;2226;411;288;1491;72805
"16";"07";"02";"14";7;2174;419;238;1485;72805
"16";"07";"02";"15";7;2133;400;219;1479;72805
"16";"07";"02";"16";7;2098;409;244;1407;72805
"16";"07";"02";"17";7;2045;429;230;1354;72805
"16";"07";"02";"18";7;1972;347;229;1364;72805
"16";"07";"02";"19";7;2088;421;270;1364;72805
"16";"07";"02";"20";7;1949;373;217;1331;72805
"16";"07";"02";"21";7;2442;336;841;1215;72805
"16";"07";"02";"22";7;1488;256;181;1029;72805
"16";"07";"02";"23";7;1324;309;152;837;72805
"16";"07";"03";"00";1;900;242;104;536;72805
"16";"07";"03";"01";1;732;213;105;403;72805
"16";"07";"03";"02";1;496;101;121;263;72805
"16";"07";"03";"03";1;323;76;58;181;72805
"16";"07";"03";"04";1;216;39;43;128;72805
"16";"07";"03";"05";1;178;20;42;113;72805
"16";"07";"03";"06";1;116;16;23;76;72805
"16";"07";"03";"07";1;329;52;50;223;72805
"16";"07";"03";"08";1;566;78;75;406;72805
"16";"07";"03";"09";1;1154;158;129;848;72805
"16";"07";"03";"10";1;1579;238;209;1105;72805
"16";"07";"03";"11";1;1949;294;197;1422;72805
"16";"07";"03";"12";1;1844;311;220;1281;72805
"16";"07";"03";"13";1;1753;299;187;1225;72805
"16";"07";"03";"14";1;2049;359;247;1411;72805
"16";"07";"03";"15";1;1894;335;208;1319;72805
"16";"07";"03";"16";1;2043;346;223;1442;72805
"16";"07";"03";"17";1;1885;329;209;1314;72805
"16";"07";"03";"18";1;2238;383;246;1576;72805
"16";"07";"03";"19";1;2338;365;288;1642;72805
"16";"07";"03";"20";1;2524;403;261;1819;72805
"16";"07";"03";"21";1;3201;448;933;1756;72805
"16";"07";"03";"22";1;2300;342;253;1669;72805
"16";"07";"03";"23";1;1869;366;229;1246;72805
"16";"07";"04";"00";2;1138;239;130;747;72805
"16";"07";"04";"01";2;626;124;103;385;72805
"16";"07";"04";"02";2;464;79;134;242;72805
"16";"07";"04";"03";2;266;65;65;128;72805
"16";"07";"04";"04";2;214;48;42;120;72805
"16";"07";"04";"05";2;179;23;45;107;72805
"16";"07";"04";"06";2;219;56;30;133;72805
"16";"07";"04";"07";2;600;70;69;451;72805
"16";"07";"04";"08";2;1517;198;166;1126;72805
"16";"07";"04";"09";2;2837;368;301;2122;72805
